data_occupancy, PerceptronVoted, [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 25.200000000000003, 0.01562809944152832
3, 25.200000000000003, 0.0156252384185791
4, 25.200000000000003, 0.015626192092895508
7, 25.200000000000003, 0.01561880111694336
10, 25.200000000000003, 0.031250953674316406
14, 25.200000000000003, 0.03125
18, 25.200000000000003, 0.046894073486328125
20, 25.200000000000003, 0.0312504768371582
25, 25.200000000000003, 0.06250119209289551
30, 25.200000000000003, 0.04685831069946289
50, 25.200000000000003, 0.10939359664916992
70, 25.200000000000003, 0.10937643051147461
90, 25.200000000000003, 0.15625309944152832
100, 25.200000000000003, 0.17187738418579102
