simple_separable,PerceptronVoted,[Train=500,Validation=250]
Ephocs, Accurancy val, Time
1, 100.0, 0.003993034362792969
10, 100.0, 0.017467498779296875
20, 100.0, 0.03242063522338867
30, 100.0, 0.04741406440734863
40, 100.0, 0.062383413314819336
50, 100.0, 0.0803520679473877
60, 100.0, 0.09281301498413086
70, 100.0, 0.10478782653808594
80, 100.0, 0.12826180458068848
90, 100.0, 0.16471338272094727
100, 100.0, 0.1502237319946289
150, 100.0, 0.22306227684020996
200, 100.0, 0.3528621196746826
250, 100.0, 0.38077402114868164
300, 100.0, 0.46114206314086914
350, 100.0, 0.5534930229187012
400, 100.0, 0.6073691844940186
