Dataset: iris
Algorithm used: PerceptronVoted
Ephocs, Test, Train, Accurancy, Time
1, 50, 150, 33.33333333333334, 0.027520179748535156
1, 80, 150, 33.33333333333334, 0.04002714157104492
1, 100, 150, 33.33333333333334, 0.04202985763549805
1, 125, 150, 33.33333333333334, 0.05653977394104004
1, 150, 150, 33.33333333333334, 0.07105135917663574
1, 150, 150, 33.33333333333334, 0.06904816627502441
3, 50, 150, 66.66666666666667, 0.06406354904174805
3, 80, 150, 64.66666666666666, 0.10306358337402344
3, 100, 150, 59.333333333333336, 0.13009428977966309
3, 125, 150, 66.66666666666667, 0.1641371250152588
3, 150, 150, 66.66666666666667, 0.1941378116607666
3, 150, 150, 66.66666666666667, 0.19363713264465332
5, 50, 150, 100.0, 0.10709309577941895
5, 80, 150, 100.0, 0.17112231254577637
5, 100, 150, 100.0, 0.21665024757385254
5, 125, 150, 66.66666666666667, 0.2681734561920166
5, 150, 150, 66.66666666666667, 0.32472968101501465
5, 150, 150, 66.66666666666667, 0.321727991104126
7, 50, 150, 68.66666666666666, 0.1486048698425293
7, 80, 150, 68.66666666666666, 0.24515438079833984
7, 100, 150, 69.33333333333334, 0.30172181129455566
7, 125, 150, 66.66666666666667, 0.3832511901855469
7, 150, 150, 66.66666666666667, 0.4573054313659668
7, 150, 150, 66.66666666666667, 0.45482397079467773
10, 50, 150, 66.66666666666667, 0.21265172958374023
10, 80, 150, 66.66666666666667, 0.34374427795410156
10, 100, 150, 66.66666666666667, 0.43631601333618164
10, 125, 150, 66.66666666666667, 0.5382695198059082
10, 150, 150, 66.66666666666667, 0.648439884185791
10, 150, 150, 66.66666666666667, 0.6464831829071045
15, 50, 150, 66.66666666666667, 0.3227088451385498
15, 80, 150, 66.66666666666667, 0.5153660774230957
15, 100, 150, 66.66666666666667, 0.6624696254730225
15, 125, 150, 66.66666666666667, 0.8141019344329834
15, 150, 150, 66.66666666666667, 0.9766740798950195
15, 150, 150, 66.66666666666667, 0.9727118015289307
20, 50, 150, 66.66666666666667, 0.435809850692749
20, 80, 150, 66.66666666666667, 0.6884880065917969
20, 100, 150, 66.66666666666667, 0.8671367168426514
20, 125, 150, 66.66666666666667, 1.0852551460266113
20, 150, 150, 66.66666666666667, 1.3279459476470947
20, 150, 150, 66.66666666666667, 1.3259668350219727

Best:
Ephocs, Test, Train, Accurancy, Time
5,50,150,150,0.10709309577941895
