simple_separable, PerceptronVoted, [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 87.4, 0.46875643730163574
3, 88.4, 1.3437705039978027
4, 88.4, 1.8125271797180176
7, 88.6, 3.203153133392334
10, 88.6, 4.812576770782471
14, 88.6, 6.515736818313599
18, 88.6, 8.218873739242554
20, 88.6, 9.25011920928955
25, 88.6, 12.39082932472229
30, 88.6, 18.140878915786743
50, 88.6, 23.187864303588867
70, 88.6, 31.53170347213745
90, 88.6, 40.46935534477234
100, 88.6, 44.938173055648804
