Dataset: data_banknotePerceptronSimple
Ephocs, Test, Train, Accurancy, Time
1, 50, 1372, 77.62390670553935, 0.0
1, 80, 1372, 44.89795918367348, 0.0
1, 100, 1372, 44.89795918367348, 0.0
1, 150, 1372, 44.89795918367348, 0.0
1, 200, 1372, 44.89795918367348, 0.0
1, 300, 1372, 44.89795918367348, 0.0
3, 50, 1372, 95.48104956268222, 0.0
3, 80, 1372, 88.99416909620992, 0.015623092651367188
3, 100, 1372, 86.07871720116619, 0.015624761581420898
3, 150, 1372, 88.77551020408163, 0.0156252384185791
3, 200, 1372, 88.92128279883381, 0.015625715255737305
3, 300, 1372, 88.92128279883381, 0.0
5, 50, 1372, 97.52186588921283, 0.0
5, 80, 1372, 92.78425655976676, 0.0
5, 100, 1372, 88.26530612244898, 0.015625
5, 150, 1372, 96.35568513119533, 0.015625953674316406
5, 200, 1372, 96.7930029154519, 0.015624761581420898
5, 300, 1372, 97.15743440233236, 0.0
7, 50, 1372, 97.52186588921283, 0.0
7, 80, 1372, 99.27113702623906, 0.0
7, 100, 1372, 91.399416909621, 0.015622854232788086
7, 150, 1372, 86.9533527696793, 0.015645503997802734
7, 200, 1372, 90.81632653061224, 0.0
7, 300, 1372, 96.865889212828, 0.0
10, 50, 1372, 97.52186588921283, 0.0
10, 80, 1372, 99.27113702623906, 0.0
10, 100, 1372, 96.13702623906705, 0.0
10, 150, 1372, 97.15743440233236, 0.0
10, 200, 1372, 98.83381924198251, 0.0
10, 300, 1372, 97.44897959183673, 0.01562643051147461
15, 50, 1372, 97.52186588921283, 0.015625715255737305
15, 80, 1372, 99.27113702623906, 0.015624523162841797
15, 100, 1372, 97.52186588921283, 0.0156252384185791
15, 150, 1372, 96.35568513119533, 0.015624523162841797
15, 200, 1372, 98.83381924198251, 0.0
15, 300, 1372, 98.17784256559767, 0.015644311904907227
20, 50, 1372, 97.52186588921283, 0.015605449676513672
20, 80, 1372, 99.27113702623906, 0.0
20, 100, 1372, 98.46938775510205, 0.0
20, 150, 1372, 93.07580174927114, 0.0
20, 200, 1372, 98.83381924198251, 0.015625
20, 300, 1372, 98.46938775510205, 0.015608072280883789

Best:
Ephocs, Test, Train, Accurancy, Time
7,80,1372,1372,0.0
