Dataset: diseased_trees
Algorithm used: PerceptronVoted
Ephocs, Test, Train, Accurancy, Time
1, 50, 1074, 93.10986964618249, 0.15562939643859863
1, 80, 1074, 93.10986964618249, 0.2647125720977783
1, 100, 1074, 93.10986964618249, 0.31022167205810547
1, 150, 1074, 93.10986964618249, 0.47031402587890625
1, 200, 1074, 93.10986964618249, 0.6189393997192383
1, 300, 1074, 93.10986964618249, 0.9519319534301758
3, 50, 1074, 93.10986964618249, 0.4938502311706543
3, 80, 1074, 93.10986964618249, 0.7560572624206543
3, 100, 1074, 93.10986964618249, 0.9206745624542236
3, 150, 1074, 93.10986964618249, 1.3994762897491455
3, 200, 1074, 93.10986964618249, 1.8424060344696045
3, 300, 1074, 93.10986964618249, 2.778480291366577
5, 50, 1074, 93.10986964618249, 0.7610414028167725
5, 80, 1074, 93.10986964618249, 1.243943214416504
5, 100, 1074, 93.10986964618249, 1.5370962619781494
5, 150, 1074, 93.10986964618249, 2.3097050189971924
5, 200, 1074, 93.10986964618249, 3.1057300567626953
5, 300, 1074, 91.24767225325884, 4.63528299331665
7, 50, 1074, 93.10986964618249, 1.0722806453704834
7, 80, 1074, 93.10986964618249, 1.7207202911376953
7, 100, 1074, 93.10986964618249, 2.3611795902252197
7, 150, 1074, 93.10986964618249, 3.472472667694092
7, 200, 1074, 93.10986964618249, 4.32960319519043
7, 300, 1074, 6.890130353817497, 6.493105173110962
10, 50, 1074, 93.10986964618249, 1.5536065101623535
10, 80, 1074, 93.10986964618249, 2.4607324600219727
10, 100, 1074, 93.10986964618249, 3.07619047164917
10, 150, 1074, 93.10986964618249, 6.318565130233765
10, 200, 1074, 93.10986964618249, 7.274681806564331
10, 300, 1074, 6.890130353817497, 9.333182573318481
15, 50, 1074, 93.10986964618249, 2.307645559310913
15, 80, 1074, 93.10986964618249, 3.7296392917633057
15, 100, 1074, 93.10986964618249, 4.601301908493042
15, 150, 1074, 93.10986964618249, 6.970726013183594
15, 200, 1074, 86.21973929236499, 9.320450782775879
15, 300, 1074, 6.890130353817497, 14.935864210128784
20, 50, 1074, 93.10986964618249, 3.107261896133423
20, 80, 1074, 93.10986964618249, 4.929488897323608
20, 100, 1074, 93.10986964618249, 6.168601751327515
20, 150, 1074, 93.10986964618249, 9.227175235748291
20, 200, 1074, 76.90875232774674, 12.49307656288147
20, 300, 1074, 6.890130353817497, 18.759417295455933

Best:
Ephocs, Test, Train, Accurancy, Time
1,50,1074,1074,0.15562939643859863
