Dataset: cmc
Algorithm used: PerceptronVoted
Ephocs, Test, Train, Accurancy, Time
1, 50, 962, 65.38461538461539, 0.14258289337158203
1, 80, 962, 65.38461538461539, 0.2211620807647705
1, 100, 962, 65.38461538461539, 0.27419519424438477
1, 150, 962, 65.38461538461539, 0.41181516647338867
1, 200, 962, 65.38461538461539, 0.5528979301452637
1, 300, 962, 65.38461538461539, 0.8241090774536133
3, 50, 962, 65.38461538461539, 0.41829967498779297
3, 80, 962, 65.38461538461539, 0.6624815464019775
3, 100, 962, 65.38461538461539, 0.8251054286956787
3, 150, 962, 65.38461538461539, 1.2308509349822998
3, 200, 962, 65.38461538461539, 1.6546859741210938
3, 300, 962, 65.38461538461539, 2.4838221073150635
5, 50, 962, 65.38461538461539, 0.6930131912231445
5, 80, 962, 65.38461538461539, 1.1012847423553467
5, 100, 962, 65.38461538461539, 1.3729655742645264
5, 150, 962, 65.38461538461539, 2.0620179176330566
5, 200, 962, 65.38461538461539, 2.764526844024658
5, 300, 962, 65.38461538461539, 4.126132011413574
7, 50, 962, 65.38461538461539, 0.9586594104766846
7, 80, 962, 65.38461538461539, 1.5361049175262451
7, 100, 962, 65.38461538461539, 1.9318759441375732
7, 150, 962, 65.38461538461539, 2.8765289783477783
7, 200, 962, 65.38461538461539, 3.8492791652679443
7, 300, 962, 65.38461538461539, 5.769617080688477
10, 50, 962, 65.38461538461539, 1.3699584007263184
10, 80, 962, 65.38461538461539, 2.1950795650482178
10, 100, 962, 65.38461538461539, 2.7449769973754883
10, 150, 962, 65.38461538461539, 4.143962621688843
10, 200, 962, 65.38461538461539, 5.520951271057129
10, 300, 962, 65.38461538461539, 8.321474075317383
15, 50, 962, 65.38461538461539, 2.0671334266662598
15, 80, 962, 65.38461538461539, 3.314378023147583
15, 100, 962, 65.38461538461539, 4.121942758560181
15, 150, 962, 65.38461538461539, 6.219530344009399
15, 200, 962, 65.38461538461539, 8.616259098052979
15, 300, 962, 65.38461538461539, 13.09394383430481
20, 50, 962, 65.38461538461539, 4.408493757247925
20, 80, 962, 65.38461538461539, 5.351813554763794
20, 100, 962, 65.38461538461539, 5.601976633071899
20, 150, 962, 65.38461538461539, 8.422015190124512
20, 200, 962, 65.38461538461539, 12.777880430221558
20, 300, 962, 65.38461538461539, 16.680480480194092

Best:
Ephocs, Test, Train, Accurancy, Time
1,50,962,962,0.14258289337158203
