data_banknote, PerceptronVoted, [Train=500, Validation=500]
Ephocs, Accurancy, Time
1, 76.2, 0.46875619888305664
3, 76.6, 1.390645980834961
4, 76.6, 1.8594026565551758
7, 76.6, 3.2656731605529785
10, 76.6, 4.6719279289245605
14, 76.6, 6.578222036361694
18, 76.6, 8.437644958496094
20, 76.6, 9.39076566696167
25, 76.6, 11.843909740447998
30, 76.6, 14.25023078918457
50, 76.6, 24.04723572731018
70, 76.6, 33.844255685806274
90, 76.6, 43.01625084877014
100, 76.6, 47.29756546020508
